ident,iata_code,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,runway_count,max_runway,avg_runway
ZBZL,NZL,medium_airport,Zhalantun Genghis Khan Airport,CN,47.865942,122.768662,928.0,1,8202.0,8202.0
ZGCD,CGD,medium_airport,Changde Taohuayuan Airport,CN,28.9189,111.639999,128.0,1,8366.0,8366.0
ZGCJ,HJJ,medium_airport,Huaihua Zhijiang Airport,CN,27.443087,109.704666,882.0,1,7218.0,7218.0
ZGCZ,HCZ,medium_airport,Chenzhou Beihu Airport,CN,25.753419,112.845404,1071.0,1,8530.0,8530.0
ZGGG,CAN,large_airport,Guangzhou Baiyun International Airport,CN,23.392401,113.299004,50.0,3,12467.0,12248.333333333334
ZGHA,CSX,large_airport,Changsha Huanghua International Airport,CN,28.189199,113.220001,217.0,2,12467.0,11483.0
ZGHC,HCJ,medium_airport,Hechi Jinchengjiang Airport,CN,24.804344,107.710819,2221.0,1,7218.0,7218.0
ZGKL,KWL,large_airport,Guilin Liangjiang International Airport,CN,25.219828,110.039553,570.0,1,10499.0,10499.0
ZGLG,LLF,medium_airport,Yongzhou Lingling Airport,CN,26.338661,111.610043,340.0,1,8530.0,8530.0
ZGNN,NNG,large_airport,Nanning Wuxu Airport,CN,22.608299,108.171997,421.0,1,10499.0,10499.0
ZGOW,SWA,medium_airport,Jieyang Chaoshan International Airport,CN,23.552,116.5033,,1,10499.0,10499.0
ZGSD,ZUH,medium_airport,Zhuhai Jinwan Airport,CN,22.006399,113.375999,23.0,1,13517.0,13517.0
ZGSY,WGN,medium_airport,Shaoyang Wugang Airport,CN,26.806123,110.641042,1444.0,1,8530.0,8530.0
ZGSZ,SZX,large_airport,Shenzhen Bao'an International Airport,CN,22.639299,113.810997,13.0,2,12467.0,11811.0
ZGYL,YLX,medium_airport,Yulin Fumian Airport,CN,22.438056,110.120833,328.0,1,8530.0,8530.0
ZGZH,LZH,medium_airport,Liuzhou Bailian Airport / Bailian Air Base,CN,24.2075,109.390999,295.0,1,8202.0,8202.0
ZHCC,CGO,large_airport,Zhengzhou Xinzheng International Airport,CN,34.526497,113.849165,495.0,2,11811.0,11483.0
ZHES,ENH,medium_airport,Enshi Xujiaping Airport,CN,30.320299,109.485001,1605.0,1,6890.0,6890.0
ZHHH,WUH,large_airport,Wuhan Tianhe International Airport,CN,30.774798,114.213723,113.0,2,11811.0,11483.0
ZHJZ,SHS,medium_airport,Jingzhou Shashi Airport,CN,30.29281,112.44854,95.0,1,8530.0,8530.0
ZHLY,LYA,medium_airport,Luoyang Beijiao Airport,CN,34.7411,112.388,840.0,1,8202.0,8202.0
ZHSN,HPG,medium_airport,Shennongjia Hongping Airport,CN,31.626,110.34,8365.0,1,9186.0,9186.0
ZHSY,WDS,medium_airport,Shiyan Wudangshan Airport,CN,32.592889,110.906296,,1,8530.0,8530.0
