id,airport_ref,ident,length_ft,width_ft
265073,6715,03LS,40,40
258174,6716,03M,3800,200
256543,6717,03MA,1600,60
265074,6718,03MD,50,50
251983,6719,03ME,2400,90
265075,6720,03MI,20,20
254015,6721,03MN,1940,75
256583,6722,03MO,2200,50
265076,6723,03MS,60,60
252674,6725,03MU,2400,24
247862,4650,03N,2400,50
255474,6726,03NC,2750,40
253422,6727,03ND,2600,50
248631,6728,03NE,2200,200
269432,6729,03NH,12,80
250930,6731,03NV,3200,30
256491,6732,03NY,2000,75
247680,6733,03OH,2100,60
247679,6733,03OH,2200,60
269433,6734,03OI,60,60
248677,6735,03OK,1200,50
348549,348548,03OL,1900,30
250205,6736,03OR,2950,60
269434,6737,03PA,130,80
269435,6738,03PN,100,100
322893,322892,03PR,2926,65
254174,6739,03PS,675,90
254175,6739,03PS,925,90
254176,6739,03PS,1130,90
252715,6740,03S,2115,100
269436,6741,03SC,40,40
256656,6743,03TE,3500,100
269437,6744,03TN,20,20
269438,6745,03TS,90,90
341552,341551,03TT,3000,50
269439,6746,03TX,150,150
256580,6747,03UT,5000,35
256581,6747,03UT,3250,35
252650,6749,03WA,2800,60
254284,6750,03WI,1500,60
257028,6751,03WN,2000,70
345758,345757,03XA,54,54
255081,6752,03XS,3200,50
255082,6752,03XS,1600,50
325444,325443,04AA,1300,100
325445,325443,04AA,825,68
265077,6753,04AL,100,100
265078,6754,04AR,40,40
240582,6756,04CA,5000,150
253718,6757,04CL,1900,100
265079,6758,04CT,50,100
328589,6759,04F,2400,20
248386,6760,04FA,2620,212
254455,6761,04FL,3000,100
251866,6762,04I,2382,120
250269,6763,04IA,2310,84
248055,6764,04ID,3000,25
247381,6765,04II,1372,72
258147,6766,04IL,1700,70
264167,45410,04IN,4000,1000
252471,6767,04IS,2200,150
265080,6768,04KS,400,60
249845,6769,04KY,1700,30
265081,6770,04LA,40,40
256788,6771,04LL,3700,70
265082,6772,04LS,60,60
255931,6773,04MA,2100,300
265083,6774,04MD,50,50
250921,6775,04ME,1950,120
249123,6776,04MI,2000,100
253156,6777,04MN,2500,150
247380,6778,04MO,2600,150
239977,6779,04MS,3400,100
247254,6780,04MT,2100,100
247255,6780,04MT,1900,100
269440,6781,04NC,91,35
250070,6782,04NE,2500,100
249124,6783,04NJ,3500,50
347888,347887,04NR,78,36
240873,6784,04NV,3240,45
256237,6785,04NY,5200,50
264637,45733,04OG,50,100
257547,6786,04OH,2200,70
269441,6787,04OK,45,45
269442,6789,04PA,100,100
269443,6790,04PN,70,70
269444,6791,04SC,50,50
325774,325773,04SD,46,46
269445,6792,04TA,60,40
269446,6793,04TE,30,30
248352,6794,04TN,3000,50
269447,6795,04TS,20,20
342439,342438,04TT,4645,55
254703,6796,04TX,2000,50
251630,6797,04UT,3700,50
248135,6798,04V,7745,55
269448,6799,04VA,50,50
249896,6800,04VG,3500,80
249897,6800,04VG,1800,70
252792,6801,04VT,1300,40
253744,6802,04W,2751,75
257588,6803,04WA,1800,60
252584,6804,04WI,1800,100
264555,45903,04WN,4100,60
269449,6805,04WV,40,40
269450,6806,04XS,80,60
249330,6807,05AK,2000,75
265084,6808,05AL,1600,50
265085,6808,05AL,1600,50
265086,6808,05AL,1600,50
265087,6808,05AL,1600,50
265088,6808,05AL,1600,50
265089,6808,05AL,1600,50
264096,45302,05AR,2000,100
265090,6809,05AZ,40,40
251991,6810,05B,4000,200
265091,6811,05CA,78,78
240517,6812,05CL,3700,60
257870,6813,05CO,2650,60
265092,6814,05CT,50,50
251765,6815,05FA,2950,100
265093,6816,05FD,95,95
258062,6817,05FL,3200,60
258063,6817,05FL,1600,50
256136,6818,05GA,2200,60
252492,6819,05IA,2450,65
249604,6820,05ID,2000,70
252030,6821,05II,1800,100
255177,6822,05IL,3200,70
255557,6823,05IN,2000,100
252443,6824,05IS,2000,100
253170,6825,05KS,2350,50
346027,346026,05KT,600,50
247089,6826,05KY,1270,150
248582,6827,05LA,2200,70
265094,6828,05LL,120,120
239914,6829,05LS,2300,100
265095,6831,05MA,100,40
256912,6832,05MD,2700,80
256013,6833,05ME,900,40
269451,6834,05MO,30,30
265096,6835,05MS,40,40
269452,6836,05NC,40,40
248198,6837,05NE,3210,80
269453,6838,05NH,100,100
269454,6839,05NJ,60,60
269455,6840,05NY,75,75
347923,347917,05OG,50,50
252094,6841,05OI,2000,100
255593,6842,05OK,2200,90
252203,6843,05OR,2600,50
269456,6843,05OR,75,75
269457,6844,05PA,70,70
269458,6845,05PN,120,120
251648,6846,05PS,2319,100
246531,6847,05S,2940,45
252110,6848,05TA,1700,40
249408,6849,05TE,1500,50
248774,6851,05TS,1700,90
257314,6852,05TX,2075,50
242390,6853,05UT,3950,50
255388,6854,05V,6160,52
253174,6855,05VA,2000,40
269459,6856,05VT,80,80
269460,6857,05WA,40,40
249811,6858,05WI,1800,60
264540,45907,05WN,1700,50
249655,6859,05XS,2600,100
252823,6860,05Y,3280,200
264063,45272,06AK,2000,40
265097,6861,06AL,1600,75
265098,6861,06AL,1600,75
265099,6861,06AL,1600,75
265100,6861,06AL,1600,75
265101,6861,06AL,1600,75
265102,6861,06AL,1600,75
265103,6861,06AL,1600,75
257167,6862,06AR,2900,125
265104,6863,06AZ,80,80
257162,6864,06B,15000,4000
265105,6865,06CA,20,20
265106,6866,06CL,46,46
249380,6867,06CO,4500,75
245598,6868,06FA,7003,150
255035,6869,06FD,3400,120
265107,6870,06FL,200,100
265108,6871,06GA,300,300
247546,6872,06I,16000,3500
246797,6873,06IA,1750,100
251133,6874,06ID,2200,80
251807,6875,06IL,2580,70
253637,6877,06IS,2600,70
265109,6878,06KS,25,25
265110,6879,06KY,60,60
265111,6880,06LA,39,39
265112,6881,06LL,40,40
265113,6882,06LS,40,40
265114,6883,06MA,15,15
265115,6884,06MD,60,60
265117,6885,06MI,45,45
265116,6885,06MI,45,45
243386,6887,06MO,3000,30
258123,6888,06MT,2200,60
247424,6889,06N,2811,60
258046,6890,06NC,2600,90
252568,6891,06ND,2800,50
269461,6892,06NE,130,95
256168,6893,06NH,1900,150
255352,6895,06NY,2000,75
269462,6896,06O1,40,40
254320,6897,06OH,2400,100
253246,6898,06OI,2256,45
269463,6899,06OK,300,100
253145,6900,06OR,1000,80
246803,6901,06PA,2965,100
264638,45764,06PN,15,15
269464,45764,06PN,80,80
248184,6903,06R,2480,30
257773,6904,06SN,2400,75
254861,6905,06TA,1900,15
245133,6906,06TE,3500,50
256454,6907,06TN,2000,50
340869,340868,06TT,3129,75
255358,6909,06TX,1680,60
251046,6910,06VA,2000,100
269465,6911,06WA,60,40
257201,15372,06WN,2845,30
254934,6913,06XS,1750,100
252720,6914,06Y,2997,60
265118,6915,07AL,6000,1200
252802,6916,07AR,3000,60
246800,6918,07B,3186,100
265119,6919,07CA,40,40
257130,6920,07CL,2220,50
254680,6921,07CO,3100,75
249201,6923,07D,2244,65
245843,6924,07FA,4500,70
265120,6926,07FL,67,65
248801,6927,07GA,1700,80
269466,6928,07I,15000,4000
355065,355064,07IA,1600,60
251119,6929,07ID,3000,75
265121,6930,07II,60,60
247283,6931,07IN,1860,80
250306,6932,07K,3700,60
254334,6933,07KS,2000,45
251732,6934,07KY,2000,100
265122,6935,07LA,30,15
265123,6936,07LS,50,50
265124,6937,07MA,120,60
251186,6938,07MD,1000,70
265125,6939,07ME,900,200
249456,6940,07MI,2904,100
255461,6941,07MN,2600,50
251479,6942,07MO,2700,40
243729,6943,07MT,13500,300
254978,6944,07N,2200,100
246722,6945,07NC,2000,50
251305,6946,07NH,2500,200
251306,6946,07NH,2500,200
269467,6947,07NJ,45,45
269468,6948,07NY,50,50
269469,6949,07OH,30,30
255599,6950,07OK,2400,80
250148,6951,07OR,1200,100
264527,45747,07PN,1600,100
349113,349103,07PR,45,45
253663,6953,07TA,2200,125
269470,6953,07TA,200,200
245010,6954,07TE,5000,100
246384,6955,07TN,1800,75
258085,6956,07TS,2500,75
269471,6957,07TX,400,50
246375,6958,07VA,1600,50
246408,6959,07VT,526,20
246409,6959,07VT,595,20
269472,6960,07WA,53,53
249465,6961,07WI,1500,50
346212,346208,07WY,2200,50
341554,341553,07XA,37,37
269473,6962,07XS,30,30
250120,6963,07Y,2850,150
264053,45248,08AK,1200,80
332753,332752,08AL,4000,200
265126,6964,08AR,50,50
265127,6965,08AZ,42,42
256187,6966,08B,1935,100
265128,6967,08CA,60,60
256508,6968,08CL,2000,50
